,symbol,date,enterpriseValue
10253,KGKC.ME,2019-12-31,925431000.0
10254,KGL.AX,2019-12-31,-6249611.0
10255,KGL.NS,2019-03-31,2652765200.0
10256,KGM.AX,2019-06-30,8043424.539999999
10257,KGN.AX,2019-06-30,437820886.92
10258,KGP.L,2019-12-31,655100000.0
10259,KGX.DE,2019-12-31,9231480118.0
10260,KGX.SW,2019-12-31,8565959764.0
10261,KHADIM.NS,2019-09-30,3739980643.608138
10262,KHANDSE.NS,2019-09-30,246790800.0
10263,KHC,2019-12-28,64740741227.0
10264,KIBO.L,2019-12-31,-91634.0
10265,KICL.NS,2019-09-30,7498034363.5
10266,KIDS,2019-12-31,661732719.44
10267,KIE.L,2019-12-31,261000000.0
10268,KILITCH.NS,2019-09-30,2147505462.772414
10269,KIM,2019-12-31,13941111147.532999
10270,KIM-PL,2019-12-31,-123947000.0
10271,KIM-PM,2019-12-31,-123947000.0
10272,KIN,2019-12-31,335576280.0
10273,KIN.AX,2019-06-30,17543435.099999998
10274,KIN.BR,2019-12-31,407040000.0
10275,KIN2.DE,2019-12-31,6489705500.0
10276,KINGFA.NS,2019-09-30,7868173773.196903
10277,KINS,2019-12-31,80840713.75
10278,KIOCL.NS,2019-09-30,81619278008.60114
10279,KIQ,2019-12-31,29544224.799999997
10280,KIRIINDUS.NS,2019-09-30,14947274911.637333
10281,KIRK,2020-02-01,-14110200.000000002
10282,KIRLOSBROS.NS,2019-09-30,13323440307.380648
10283,KIRLOSENG.NS,2019-09-30,33447436597.559387
10284,KIRLOSIND.NS,2019-09-30,8803768975.635952
10285,KIRY,2019-12-31,-396526.0
10286,KIS.AX,2019-06-30,21187075.925
10287,KIT.L,2019-09-30,-22557000.0
10288,KITEX.NS,2019-09-30,5756275998.644666
10289,KITL,2019-12-31,13914949.9
10290,KKCL.NS,2019-12-31,12782561431.062223
10291,KKL.AX,2019-06-30,2843545.483
10292,KKO.AX,2019-06-30,6597710.58
10293,KKR,2019-12-31,40050563812.41
10294,KL,2019-12-31,8613891300.0
10295,KL.TO,2019-12-31,15049821750.56
10296,KLA.DE,2019-12-31,28260258970.840004
10297,KLAC,2019-12-31,30484371985.42
10298,KLDO,2019-12-31,100210700.45999998
10299,KLDX,2018-03-31,430873449.6
10300,KLIC,2019-12-28,1423201275.861
10301,KLIN.SW,2019-09-30,-8750000.0
10302,KLL.AX,2019-06-30,142015253.74884
10303,KLO.AX,2019-03-31,45019306.827700004
10304,KLR,2019-12-31,130588730.0
10305,KLR.AX,2019-12-31,-249816.0
10306,KLR.L,2019-12-31,196800000.0
10307,KLS.TO,2019-12-31,39449943.980000004
10308,KLSB.ME,2019-12-31,739626000.0
10309,KLXE,2020-01-31,212824000.0
10310,KLXI,2018-07-31,4523005000.0
10311,KMAZ.ME,2019-12-31,98239000000.0
