,date,symbol,enterpriseValue
5,2020-02-02,AVGO,164187604620.0
0,2021-01-31,AMAT,92443149085.0
1,2020-10-25,AMAT,54965218156.0
2,2020-07-26,AMAT,59192218156.0
3,2020-04-26,AMAT,48034689077.0
4,2020-01-26,AMAT,56029349073.0
5,2019-10-27,AMAT,54547500930.0
0,2019-03-31,DWDP,283476171130.0
1,2018-12-31,DWDP,309697448190.0
2,2018-09-30,DWDP,363199574480.0
3,2018-06-30,DWDP,331278352540.0
4,2018-03-31,DWDP,351860103100.0
5,2017-12-31,DWDP,250182047480.00003
0,2020-09-30,ZNGA,9755144600.0
1,2020-06-30,ZNGA,8371707160.0
2,2020-03-31,ZNGA,6548883700.0
3,2019-12-31,ZNGA,5946646960.0
4,2019-09-30,ZNGA,5465160000.0
5,2019-06-30,ZNGA,5725388500.0
0,2020-12-31,XOM,250140004519.59335
1,2020-09-30,XOM,215596342388.55667
2,2020-06-30,XOM,242699004160.72617
3,2020-03-31,XOM,213640718637.43286
4,2019-12-31,XOM,321816476944.22455
5,2019-09-30,XOM,340239937583.5367
0,2020-12-27,QCOM,180914165670.0
1,2020-09-27,QCOM,147489451135.0
2,2020-06-28,QCOM,111187392278.0
3,2020-03-29,QCOM,84998528849.0
4,2019-12-29,QCOM,105317370000.00002
5,2019-09-29,QCOM,94243238792.0
0,2020-12-31,VIPS,7031171015.411804
1,2020-09-30,VIPS,3935308630.200001
2,2020-06-30,VIPS,-2612248640.3
3,2020-05-27,VIPS,2344335471.36
4,2020-03-31,VIPS,-662332040.8000002
5,2019-12-31,VIPS,-3484495218.0
0,2020-12-31,GLD,59082285411.253006
1,2020-09-30,GLD,58671529703.73499
2,2020-06-30,GLD,55462714610.0
3,2020-03-31,GLD,46064740650.0
4,2019-12-31,GLD,44047368100.0
5,2019-09-30,GLD,37298475210.0
0,2021-01-23,CSCO,186824710000.0
1,2020-10-24,CSCO,168418440000.0
2,2020-07-25,CSCO,199602808484.0
3,2020-04-25,CSCO,181623360000.0
4,2020-01-25,CSCO,214119991480.0
5,2019-10-26,CSCO,206313708546.0
