,symbol,date,returnOnCapitalEmployed
2,AVGO,2019-10-31,0.03673631052579463
3,AVGO,2018-11-04,0.09511153894446073
4,AVGO,2018-10-31,0.09511153894446073
5,AVGO,2017-10-31,0.03517123089672185
0,AMAT,2020-10-25,0.2328154688722477
1,AMAT,2019-10-27,0.22425739178157372
2,AMAT,2018-10-28,0.3206184815111954
3,AMAT,2017-10-29,0.2493465760585468
4,AMAT,2016-10-30,0.18403730115194733
5,AMAT,2015-10-25,0.13883579496090356
0,DWDP,2018-12-31,0.04186388268070906
1,DWDP,2017-12-31,0.012443084632248427
0,ZNGA,2019-12-31,0.016500816064442946
1,ZNGA,2018-12-31,0.015875872669057975
2,ZNGA,2017-12-31,0.022151663717669582
3,ZNGA,2016-12-31,-0.0630071188400496
4,ZNGA,2015-12-31,-0.06893684892799498
5,ZNGA,2014-12-31,-0.117805991145369
0,XOM,2020-12-31,-0.10450202071732752
1,XOM,2019-12-31,0.06716497883512833
2,XOM,2018-12-31,0.10708231565983298
3,XOM,2017-12-31,0.06418946789495394
4,XOM,2016-12-31,0.0281912861367785
5,XOM,2015-12-31,0.07767821148446506
0,QCOM,2020-09-27,0.2124284971398856
1,QCOM,2019-09-29,0.3114228623761552
2,QCOM,2018-09-30,0.023916083916083915
3,QCOM,2017-09-24,0.05472800894116785
4,QCOM,2016-09-25,0.15168264961818503
5,QCOM,2015-09-27,0.1451360300698049
0,VIPS,2019-12-31,0.20046219654157232
1,VIPS,2018-12-31,0.15593580955892772
2,VIPS,2017-12-31,0.1356921058246042
3,VIPS,2016-12-31,0.25364735014894413
4,VIPS,2015-12-31,0.2605633883355404
5,VIPS,2014-12-31,0.1560300187617261
0,GLD,2020-09-30,
1,GLD,2019-09-30,0.1642509401401761
2,GLD,2018-09-30,-0.09252029582788311
3,GLD,2017-09-30,-0.053133126399095995
4,GLD,2016-09-30,0.12273037604587042
5,GLD,2015-09-30,-0.1090987971513095
0,CSCO,2020-07-25,0.20094358620292857
1,CSCO,2019-07-27,0.22050211104553502
2,CSCO,2018-07-28,0.159500422023511
3,CSCO,2017-07-29,0.1201838900572211
4,CSCO,2016-07-30,0.13355247516564847
5,CSCO,2015-07-25,0.12450950967641533
0,AXP,2020-12-31,0.023860701491293844
1,AXP,2019-12-31,0.10421483413904378
2,AXP,2018-12-31,0.10065184524252113
3,AXP,2017-12-31,0.10018242010674955
4,AXP,2016-12-31,0.11995673497207035
5,AXP,2015-12-31,0.11548869555096458
0,BMY,2019-12-31,0.04456288068792547
1,BMY,2018-12-31,0.245273713628144
2,BMY,2017-12-31,0.21389861597465398
3,BMY,2016-12-31,0.23787501005388884
4,BMY,2015-12-31,0.08752264969870634
5,BMY,2014-12-31,0.09415533059158494
0,V,2020-09-30,0.2076525772109202
1,V,2019-09-30,0.25159316418465494
2,V,2018-09-30,0.22109806629834255
3,V,2017-09-30,0.2016798027007916
4,V,2016-09-30,0.14309953740913395
